"","ACK_ID","PLAN_YEAR_BEGIN_DATE","PLAN_YEAR_END_DATE","PLAN_NAME","PLAN_EFFECTIVE_DATE","PLAN_TYPE","SPONSOR_NAME","SPONSOR_STATE","SPONSOR_EIN","BUSINESS_CODE","TOTAL_ACCBAL_PARTCP_BOY","TOTAL_ACCBAL_PARTCP_EOY","TOTAL_CONTRIB_PARTCP_BOY","TOTAL_CONTRIB_PARTCP_EOY","TOTAL_CONTRIB_EMPLR_BOY","TOTAL_CONTRIB_EMPLR_EOY","TOTAL_LOANS_BOY","TOTAL_LOANS_EOY","TOTAL_ASSETS_BOY","TOTAL_ASSETS_EOY","INDUSTRY_TITLE"
"4444","20240916120557NAL0002725440001","2023-01-01","2023-12-31","CYPRESS LAWN CEMETERY ASSOCIATION 401(K) SAVINGS ACCOUNT","1998-11-01","2A2E2F2G2J2K2R2S2T3D3H","CYPRESS LAWN CEMETERY ASSOC","CA",940416370,812210,386,378,31367,32252,16658,17272,436991,479358,20043633,24303664,"Funeral homes and funeral services"
"4445","20240916120906NAL0002091488001","2023-01-01","2023-12-31","WASHINGTON COMPANIES 401(K) RETIREMENT SAVINGS PLAN","1972-10-01","2E2F2G2J2K2R2T3D3F3H","WASHINGTON COMPANIES","MT",810485406,541990,2426,2320,235489,1049895,2378519,3228591,6488382,6175148,351970380,417849493,"All other professional, scientific, and technical services"
"4446","20240917052128NAL0000998195001","2023-01-01","2023-12-31","CAF USA, INC. 401(K) PROFIT SHARING PLAN","2002-01-01","2E2F2G2J2K2T3D","CAF USA, INC.","NY",522125544,336510,186,177,15925,18909,18230,30988,274338,311999,9564629,10653084,"Railroad rolling stock manufacturing"
"4447","20240917052440NAL0000999731001","2023-01-01","2023-12-31","CVP RETIREMENT SAVINGS PLAN","2004-04-01","2E2F2G2J2K2S2T3D","CUSTOMER VALUE PARTNERS, LLC","DC",10570597,541600,876,894,204773,233027,80841,88623,285136,303820,39051292,51120737,"Management, scientific, and technical consulting services"
"4448","20240917052538NAL0002524449001","2023-01-01","2023-12-31","RENDEVOR RETIREMENT PLAN","2006-01-01","2E2F2G2J2K2T3D3H","RENDEVOR - CORPORATE SERVICES LL","TX",832485428,621492,184,204,24720,35703,11998,14387,277131,177530,5755676,7097712,"Kidney dialysis centers"
"4449","20240917053051NAL0001002179001","2023-01-01","2023-12-31","THE LUND COMPANY 401(K) SAVINGS PLAN","1996-01-01","2E2J2K2F2G3D2T2S","THE LUND COMPANY","NE",470767990,531210,364,459,37791,49778,10655,14348,127731,182392,8855559,11822267,"Offices of real estate agents and brokers"
"4450","20240917170301NAL0003138417001","2023-01-01","2023-12-31","UBS 401(K) PLAN TRUST","1983-09-01","2E2F2G2J2K2T3F3H","UBS AG","NJ",980186363,523900,31704,31691,3266363,4283443,81779248,86367649,54659509,55220282,7443590630,9006572401,"Other financial investment activities"
"4451","20240917170526NAL0003139393001","2023-01-01","2023-12-31","UBS FINANCIAL SERVICES INC OF PUERTO RICO SAVINGS PLUS PLAN TRUST","2000-01-01","2A2E2F2G2J2K3F3H","UBS FINANCIAL SERVICES INC.","NJ",132638166,523120,216,216,18274,17469,563404,536017,933137,927430,45825131,53336010,"Securities brokerage"
"4452","20241014140357NAL0053868162001","2023-01-01","2023-12-31","NATIONAL SAFETY APPAREL, INC. 401(K) RETIREMENT SAVINGS PLAN","1987-01-01","2E2F2G2J2K2T3D3H","NATIONAL SAFETY APPAREL, INC.","OH",341678801,315990,182,212,19758,30554,11627,15600,165194,135955,13473634,17042702,"Apparel accessories and other apparel manufacturing"
"4453","20241014140400NAL0044799664001","2023-01-01","2023-12-31","CAPITAL NEWSPAPERS EMPLOYEE SAVINGS PLAN","1989-08-01","2K2G2J3H2E2F","THE HEARST CORPORATION","NC",130433120,511110,192,178,7439,5428,5566,4917,210778,187358,18148647,18452558,"Newspaper publishers"
"4454","20241014140406NAL0044799920001","2023-01-01","2023-12-31","NORCOM REALTY & AFFILIATES 401(K) PLAN","2000-01-01","2E2F2G2J2K2R2T3D3F3H","NORCOM REALTY CORP.","FL",113318787,484200,195,198,15718,17912,119951,131137,328284,261206,7546571,6462012,"Specialized freight trucking"
"4455","20241014142932NAL0015107475001","2023-01-01","2023-12-31","E. K. SERVICES RETIREMENT PLAN","2011-01-01","2E2F2G2J2K3D","E.K. SERVICES, INC.","PA",251644049,238900,182,183,5796,5866,199064,159084,353355,295288,5402137,6140029,"Other specialty trade contractors"
"4456","20241014151358NAL0026531009001","2023-01-01","2023-12-31","CONNEXIN SOFTWARE, INC. 401(K) PLAN","1996-01-01","2E3D2G2J2K2F2T","CONNEXIN SOFTWARE, INC.","PA",521382750,541990,297,296,43785,49073,22252,23694,102400,75686,13395017,15767033,"All other professional, scientific, and technical services"
"4457","20241014151414NAL0015185139001","2023-01-01","2023-12-31","INKTEL 401(K) PLAN","2001-01-01","2A2E2F2G2J2K2T3D3H","INKTEL HOLDINGS, LLC","FL",650734857,561420,339,256,5169,24758,3573,19358,118941,164474,5638733,6725395,"Telephone call centers"
"4458","20241014151424NAL0026531969001","2023-01-01","2023-12-31","PROGRAM PLANNING PROFESSIONALS, INC. 401(K)","1996-11-01","2S2E3D2G2J2K2F2T3H","PROGRAM PLANNING PROFESSIONALS INC.","MI",383166928,541600,260,291,113333,97488,36332,55101,55404,27614,9209043,10649862,"Management, scientific, and technical consulting services"
"4459","20241014151428NAL0026532145001","2023-01-01","2023-12-31","TRUMP PAYROLL CORP. 401(K) / PROFIT SHARING PLAN","1996-04-01","2F2G2J2K2R2T3D3H2E","TRUMP PAYROLL CORP.","NY",133494471,541214,1460,1504,46151,36565,20227,16988,581601,516019,54751196,65352206,"Payroll services"
"4460","20241014144852NAL0054031042001","2023-01-01","2023-12-31","ANGIODYNAMICS, INC. RETIREMENT AND SAVINGS PLAN","1997-08-01","2K2S2T2E2F2G3D2J2R","ANGIODYNAMICS, INC.","NY",113146460,339110,1267,1241,193295,214356,480154,430201,1570261,1822808,115885669,136329115,"Medical equipment and supplies manufacturing"
"4461","20241014144852NAL0013476035001","2023-01-01","2023-12-31","MEACHAM & APEL ARCHITECTS, INC. 401(K) PROFIT SHARING PLAN","1985-01-01","2E2F2G2J2K2R2S2T3D","MEACHAM & APEL ARCHITECTS, INC.","OH",310989412,541310,154,163,24725,21837,687001,394158,35181,36435,11150262,14031544,"Architectural services"
"4462","20241014153003NAL0013539667001","2023-01-01","2023-12-31","MATHESON TRUCKING, INC. 401(K) PLAN","1991-01-01","2J2K2T2E2F2G3D3H","MATHESON TRUCKING, INC.","CA",941578272,484120,4653,4306,104020,49735,224831,166388,895165,870250,27554994,28206267,"General freight trucking, long-distance"
"4463","20241014153009NAL0013539923001","2023-01-01","2023-12-31","TENOVA, INC. 401(K) PLAN","1987-07-01","2E2F2G2J2K2T3D","TENOVA, INC.","PA",232914960,541330,160,143,23690,25970,17173,23255,128272,161706,30169374,34766126,"Engineering services"
"4464","20241014161502NAL0015273699001","2023-01-01","2023-12-31","FOX VALLEY SURGICAL ASSOCIATES LTD 401K PLAN","1973-10-01","2E2F2G2J2K2R3D","FOX VALLEY SURGICAL ASSOCIATES, LTD","WI",361141203,621111,132,130,11208,17790,1187192,1136083,31642,16168,18313777,21023814,"Offices of physicians (except mental health specialists)"
"4465","20241014154615NAL0026616561001","2023-01-01","2023-12-31","GUNSTER RETIREMENT SAVINGS PLAN","2003-04-01","2A2E2F2H2J2K3D3H","GUNSTER, YOAKLEY & STEWART, P.A.","FL",591450702,541110,503,565,826756,1006061,4363169,5802369,358797,463575,179734805,210060303,"Offices of lawyers"
"4466","20241014163434NAL0027870481001","2023-01-01","2023-12-31","HANES COMPANIES, INC. RETIREMENT SAVINGS PLAN II","1981-01-01","2A2F2G2J2K2S2T3D3H","HANES COMPANIES, INC. CORPORATE HUMAN RESOURCES","MO",561542277,339900,901,907,57389,59303,16762,17279,1136646,1173238,56049988,61662334,"Other miscellaneous manufacturing"
"4467","20241014163440NAL0015302611001","2023-01-01","2023-12-31","EPROMOS 401(K) PLAN","2020-01-01","2E2F2G2J2K3B3D2A","EPROMOS PROMOTIONAL PRODUCTS LLC","MN",841730900,541800,106,120,-10731,-10731,12077,11975,147940,132342,3521738,4894733,"Advertising, public relations, and related services"
"4468","20241014163450NAL0054454690001","2023-01-01","2023-12-31","ANVIL BUILDERS, INC. 401(K) PROFIT SHARING PLAN","2012-01-01","2E2G2J3D2A2K2T3H2F","ANVIL BUILDERS, INC.","CA",273264836,237990,139,245,-559,7891,619825,745198,69742,52163,7044949,10976530,"Other heavy and civil engineering construction"
"4469","20241014173325NAL0013693379001","2023-01-01","2023-12-31","STOCKBRIDGE EMPLOYEE SAVINGS & INVESTMENT PLAN","2003-01-01","2E2F2G2J2K2S2T3D3F","STOCKBRIDGE CAPITAL GROUP, LLC","CA",421558275,541990,187,198,53449,56409,9645,7548,214188,167136,38130870,45834818,"All other professional, scientific, and technical services"
"4470","20241014165038NAL0027905393001","2023-01-01","2023-12-31","YEH AND ASSOCIATES, INC. 401(K) PLAN","2002-01-01","2E3D2G2J2K2F2T","YEH AND ASSOCIATES, INC.","CO",841498347,541330,103,111,43526,51253,20420,20085,76818,56416,11109221,12777697,"Engineering services"
"4471","20241014174328NAL0047040240001","2023-01-01","2023-12-31","RETIRE READY 401(K) PLAN","1991-01-01","2E2G2J2K2S2T3D3H","NU SKIN ENTERPRISES, INC.","UT",870565309,424990,2195,2294,31861,11982,17806,5796,1814397,1850273,198700578,225263166,"Other miscellaneous nondurable goods merchant wholesalers"
"4472","20241014181010NAL0015399555001","2023-01-01","2023-12-31","MNS, LTD. PROFIT-SHARING PLAN","1958-06-01","2E2F2H2J2K2R3H","MNS, LTD.","HI",711007574,445120,1630,1721,273938,287676,5094649,5161420,5102176,4473346,200653489,236436138,"Convenience stores"
"4473","20241014181026NAL0047121648001","2023-01-01","2023-12-31","APPLIED MEDICAL RESOURCES CORPORATION 401(K) PLAN","1992-10-01","2E2F2G2J2K2T3D3H","APPLIED MEDICAL RESOURCES CORP.","CA",330269393,339110,4406,4540,3365,9918,4964735,5132283,2256190,2985972,145280978,187497289,"Medical equipment and supplies manufacturing"
"4474","20241014181214NAL0013727539001","2023-01-01","2023-12-31","SPARTAN LOGISTICS 401(K) PLAN","1997-01-01","2E2F2G2J2K2T3D","SPARTAN WAREHOUSE & DISTRIBUTION COMPANY, INC.","OH",311251987,493100,124,187,11937,5139,5757,8992,67946,85158,5390108,7039588,"Warehousing and storage"
"4475","20241014193205NAL0028163569001","2023-01-01","2023-12-31","FARMERS OIL COMPANY, INC. 401(K) PLAN","2015-01-01","2F2G2J2K2T3D","FARMERS OIL COMPANY, INC.","KS",481224005,484120,102,86,1842,6581,328,3427,288215,314295,4590012,4893630,"General freight trucking, long-distance"
"4476","20241014205917NAL0053921602001","2023-01-01","2023-12-31","MARISCO, LTD. 401(K) PLAN","1992-08-01","2A2G2J2K3D2F","MARISCO, LTD.","HI",990157085,811310,193,227,14601,17740,2088,2537,732165,757998,7626889,8026452,"Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance"
